id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cdkn1a,790.205589818966,1.19391582396959,0.166989864482409,7.14963047410197,8.70118106359095e-13,1.00794481440638e-08
Bbc3,254.163328642228,1.61477471871129,0.231509260527391,6.97498974785171,3.05893122050835e-12,1.77173296291843e-08
Fam212b,136.774046935774,1.92824425783113,0.298971089943702,6.44960105739397,1.12144960871604e-10,4.33029075578886e-07
Ccng1,658.790032421937,1.01981540439456,0.178739200226955,5.70560572666569,1.15930069935581e-08,3.35733482533443e-05
Trp53inp1,249.25887358479,1.31940609904337,0.265056436465729,4.97783082213123,6.43008196006127e-07,0.00131623358400504
Pmaip1,182.057570931207,1.262414397047,0.254186366285811,4.96649137990163,6.81750820444599e-07,0.00131623358400504
Psrc1,48.8453491547656,2.35658304514094,0.481627863933665,4.89295412830499,9.93335651980707e-07,0.00164382859893493
Polk,89.5120249985724,1.55167728831228,0.352239615361922,4.4051753994733,1.05698318000977e-05,0.0153051164465414
Hpcal1,280.186495745188,0.923204903985226,0.215994283575694,4.27420989436367,1.91816275236526e-05,0.024688885914888
Mvd,409.538840419172,-0.778251067643832,0.184834257892069,-4.21053475973203,2.54766919645286e-05,0.0295121999717099
1700007K13Rik,19.3399161114732,4.96218562754876,1.20097382167578,4.1318016579452,3.59930938379328e-05,0.0379039999107831
Pidd1,64.8989491200144,1.581865422215,0.39334458696644,4.02157669033835,5.78098798602731e-05,0.055805804025117
Dhcr24,973.864038051237,-0.679396723169574,0.172390720076798,-3.94102839681226,8.11330196672512e-05,0.0722957615250337
Baiap2,559.851105846303,0.676511266284908,0.173924378301089,3.88968626993603,0.000100373900338557,0.0830522329658457
Zak,145.030982132853,1.07333938146503,0.28158205168278,3.81181746155544,0.000137948736816774,0.0998748854553442
Apaf1,259.729106995393,0.936719690030773,0.245213860727395,3.82001118228846,0.000133445623965986,0.0998748854553442
Sulf2,587.57089878949,0.641509879959027,0.170786029635771,3.75621988125815,0.000172499149397326,0.117542949801095
Btg2,169.241044471497,0.933574808439474,0.258117161169926,3.61686454402338,0.000298193250014496,0.191903922675996
Calr,2652.00642787634,-0.560555229263638,0.155856723324148,-3.59660601934896,0.000322396217376693,0.196559883267979
Nsdhl,370.946369081672,-0.688450278158943,0.19336439055058,-3.56037777275677,0.000370321653690171,0.204089911197043
Gtse1,44.0258062842185,1.71233495857624,0.480265743050327,3.56539058501368,0.000363314711350035,0.204089911197043
Msmo1,549.628862148825,-0.622492574030011,0.175429845261142,-3.54838467253608,0.00038760169598886,0.204089911197043
Phlda3,90.4322593853693,1.21205099263112,0.342784569040123,3.53589718471035,0.000406392825770335,0.204680630161894
Dhcr7,601.357672653022,-0.681600962856796,0.198160044272152,-3.4396488220435,0.00058246944584542,0.28113858586139
Sqle,894.337232712929,-0.523326236152325,0.155667524011598,-3.36182026068158,0.000774305072395671,0.358781998345258
Magee1,741.026953095451,-0.610653111397497,0.182641681302678,-3.34344880665826,0.000827439592664399,0.368656163131708
Scd2,4351.6893591903,-0.44521208006502,0.134139406287802,-3.31902527665731,0.000903322523100317,0.38755881879978
Insig1,534.493948441218,-0.566948153257999,0.172942809774117,-3.27824067388808,0.00104456293319849,0.432150607791832
Zfp365,256.539490543881,0.715515261622265,0.219208670351474,3.26408285071491,0.00109819046822081,0.43867028909896
BC068157,993.515625887148,-0.700321459623341,0.215775837967327,-3.2455972189499,0.00117204537614067,0.452565787907117
Acsl3,563.721958956451,-0.589712758535216,0.182437977911153,-3.23240130858284,0.00122754529912841,0.458705959519467
Camta1,1557.23098223089,-0.515408237763283,0.163085289340139,-3.16036007814489,0.00157574269196713,0.570418854492101
Lss,297.892640545816,-0.658235330613674,0.209551720183788,-3.14115928056504,0.00168280485135911,0.590715496913451
Rnf157,1602.68368326761,-0.438827654586762,0.141416595654005,-3.10308456060146,0.00191514910388195,0.652502565275545
Fdft1,853.02618186622,-0.482942020653838,0.157548469734884,-3.06535519809563,0.0021741162583722,0.699582298249544
Fbxw9,331.031025377596,0.628168190384662,0.204652936097828,3.06943160631903,0.00214466505208388,0.699582298249544
Fam216a,228.563848671245,0.689078915115565,0.226462525190821,3.0427944514658,0.00234392377226448,0.733838188592208
Mnt,425.587233499686,-0.719689739124237,0.238570783687256,-3.01667173155487,0.00255566408790659,0.754104140050558
Exoc4,456.783847254976,0.551001458321817,0.18207997545774,3.0261507721353,0.00247688760676981,0.754104140050558
Shmt2,408.280367010751,-0.587190611455053,0.19501561830227,-3.01099274287314,0.00260395075984309,0.754104140050558
Slc7a5,1759.1984644197,-0.487079162164,0.16251373921023,-2.99715682213125,0.00272510487863488,0.769941827173328
Stard4,173.020435116533,-0.732097321694314,0.245055942193741,-2.9874701879929,0.00281296728071215,0.775843166184989
Acat2,576.693115977172,-0.511269397647039,0.172495862446201,-2.96395165887818,0.00303715994186106,0.799649832777267
Ckap2,26.8385500495872,1.80281385337817,0.608250539302165,2.96393301261435,0.00303734397809045,0.799649832777267
Ubap2l,1739.29560213686,-0.607398784478755,0.206679659119986,-2.93884162120732,0.0032944137282766,0.84805530285236
Fdps,747.338816632446,-0.46372495440917,0.159839539047549,-2.90119051376406,0.00371747789873917,0.911472782847978
Sc5d,320.614890091175,-0.578828455581657,0.200304112436786,-2.88974823601951,0.00385550469264079,0.911472782847978
Nap1l2,177.524365762763,-0.762812264418186,0.26307281415299,-2.89962407128306,0.00373610449685543,0.911472782847978
Cpt1c,247.889277853389,0.641468287399247,0.221914322163649,2.89061238204446,0.00384492031050012,0.911472782847978
