Gene_ID	Control1_Day_1	Control2_Day_1	GFP1_Day_1	GFP2_Day_1	PR1_Day_1	PR2_Day_1	TDP1_Day_1	TDP2_Day_1	Control1_Day_2	Control2_Day_2	GFP1_Day_2	PR1_Day_2	PR2_Day_2	TDP1_Day_2	TDP2_Day_2	Control1_Day_3	Control2_Day_3	GFP1_Day_3	GFP2_Day_3	PR1_Day_3	PR2_Day_3	TDP1_Day_3	TDP2_Day_3	cluster
Klb	0	0	0	0	1.5648821161632	0	1.73884810899782	0	1.12289276668899	0.761227747811341	0	0.54544838524637	0	1.32682516914302	0.972875483642381	1.35235985339945	0	1.03086807661927	1.48435622723026	1.31009244738644	0	11.3412328371208	6.12533859042738	1
Siva1	16.0900483914896	19.7239925182928	25.4744534197303	17.4334816624055	18.7785853939584	20.155148235536	33.0381140709586	18.201179981219	11.7903740502344	24.3592879299629	19.7609248175933	26.1815224918258	17.3951030768373	18.5755523680023	16.5388832219205	16.904498167493202	19.6202550762486	27.3180040304107	10.3904935906118	43.2330507637525	46.2823222621705	20.5559845172814	10.7193425332479	2
Zc2hc1a	706.889459332777	649.098662874726	604.812829578113	679.905784833813	656.468047730463	631.01117937409	672.934218182157	646.141889333275	659.69950042978	628.012891944357	604.856133547203	652.901717139905	651.858599510955	469.696109876631	458.224352795561	701.874763914316	604.490715920611	642.230811733807	642.726246390703	658.976501035379	708.320758099305	364.337104892504	373.64565401607	5
5430416O09Rik	12.8720387131917	8.96545114467854	12.3263484289018	5.44796301950171	12.5190569293056	12.4031681449453	9.56366459948802	10.2381637394357	12.3518204335789	14.4633272084155	15.4650715963773	15.8180031721447	15.5640395950649	10.6146013531442	2.91862645092714	16.904498167493202	21.4888507977961	17.009323264218	14.8435622723026	14.4110169212508	10.0613744048197	4.25296231392028	4.59400394282053	6
Chd3	2956.27822446302	2994.46068232263	3356.87555547091	3376.64747948716	3329.28670213721	3274.43639026555	3468.13255339615	3139.70354676028	2974.54293895913	2832.528449606	2779.41703412671	2789.42304214994	2718.21373869105	3383.40418131471	3309.72239535138	2598.55945830705	2569.31911712779	2699.32805862757	2694.10655242293	2151.17179860853	2080.69222691671	3272.65450056166	3561.88439033352	4
Hs3st3b1	2.14533978553195	0	3.28702624770714	4.35837041560137	5.47708740657121	12.4031681449453	4.34712027249455	15.9260324835666	4.49157106675595	3.04491099124537	6.0141945097023	6.54538062295644	3.66212696354469	6.63412584571512	6.81012838549667	6.76179926699727	2.80289358232123	8.24694461295419	8.90613736338157	18.3412942634101	8.04909952385573	19.1383304126413	16.8446811236753	3
Inpp5j	64.3601935659584	64.5512482416855	84.6409258784588	74.0922970652232	82.9387521566497	100.77574117768	86.942405449891	71.6671461760499	107.797705602143	98.198379467663	108.255501174641	83.999051327941	95.2153010521619	115.433789715443	111.880680618874	133.207445559846	138.276083394514	144.321530726698	136.560772905184	105.462442014608	114.699668214944	111.285847214247	133.226114341795	3
Sympk	669.346013085968	656.271023790469	683.701459523085	631.963710262198	643.166549743076	685.275040008225	654.67631303768	651.829758077406	702.369425563962	695.762161499566	675.308126375144	679.628688016977	744.327305340458	825.285255206961	826.944161096024	712.017462814812	697.920501997985	663.363607304502	629.367040345631	641.290252995662	724.418957147016	920.766340963741	964.740827992312	1
Pcsk6	56.8515043165966	66.3443384706212	87.1061955642392	73.0027044613229	65.7250488788545	48.0622765616629	60.8596838149237	56.8786874413094	69.6193515347173	60.136992077096	57.5644331642934	68.1810481557963	63.1716901211459	45.1120557508628	55.4539025676157	55.4467539893776	52.3206802033296	58.7594803672986	57.8898928619802	46.5082818822186	62.3805213098819	19.8471574649613	21.4386850664958	5
Rps12	26.8167473191493	30.482533891907	24.6526968578035	25.0606298897079	37.5571707879168	29.457524344245	19.9967532534749	21.6139012276976	31.4409974672917	24.3592879299629	30.9301431927547	33.817799885275	28.3814839674713	27.8633285520035	35.9963928947681	30.4280967014877	25.226042240891	37.1112507582938	28.202768317375	53.0587441191508	38.2332227383147	50.3267207147233	58.1907166090601	3
Camta2	397.960530216176	417.79002334202	395.264906286783	424.941115521133	421.735730305983	409.304548783193	400.804489123998	432.278024553952	463.754712642552	449.124371208691	433.022004698566	430.358775959386	410.158219917005	514.808165627494	502.976625043111	475.354488469908	537.221269944902	548.421816761453	569.992791256421	486.699344204062	468.860047264596	593.288242791879	632.441209461627	3
Slc5a6	68.6508731370223	57.3788873259427	62.4534987064356	65.3755562340205	55.5533151237937	55.8142566522536	65.2068040874183	68.2544249295713	73.5494762181287	52.5247145989826	73.888675404914	63.8174610738253	89.7221106068449	98.1850625165838	95.3417973969533	66.2656328165732	72.8752331403519	72.1607653633491	96.483154769967	113.322996698927	82.5032701195213	157.35960561505	176.103484474787	1
Prdx1	261.731453834898	190.067564267185	207.08265360555	230.993632026872	222.995701553256	237.210590772078	200.836956589248	242.303208499978	227.947231637865	189.545709205024	226.821050080201	190.361486450983	182.190816436348	217.599327739456	227.652863172317	229.901175077907	218.625699421056	201.019274940758	178.122747267631	218.785438713535	191.166113691574	306.21328660226	263.389559388377	1
Tagap1	92.2496107778737	59.1719775548784	68.2057946399231	55.5692227989174	69.6372541692625	97.6749491414439	59.1208357059259	65.9792774319189	67.3735660013393	81.4513690158135	71.3111634721844	70.3628416967818	85.144451902414	92.8777618400117	67.1284083713243	81.8177711306669	71.9409352795782	76.2842376698262	75.7021675887434	74.675269501027	62.3805213098819	101.362268481767	113.318763922906	1
